@RELATION pacman

@ATTRIBUTE columna_pacman NUMERIC
@ATTRIBUTE fila_pacman NUMERIC
@ATTRIBUTE num_fantasmas NUMERIC
@ATTRIBUTE num_fantasmas_vivos NUMERIC
@ATTRIBUTE columna_fantasma_1 NUMERIC
@ATTRIBUTE fila_fantasma_1 NUMERIC
@ATTRIBUTE columna_fantasma_2 NUMERIC
@ATTRIBUTE fila_fantasma_2 NUMERIC
@ATTRIBUTE columna_fantasma_3 NUMERIC
@ATTRIBUTE fila_fantasma_3 NUMERIC
@ATTRIBUTE columna_fantasma_4 NUMERIC
@ATTRIBUTE fila_fantasma_4 NUMERIC
@ATTRIBUTE dist_1 NUMERIC
@ATTRIBUTE dist_2 NUMERIC
@ATTRIBUTE dist_3 NUMERIC
@ATTRIBUTE dist_4 NUMERIC
@ATTRIBUTE columna_fantasma_mas_cercano NUMERIC
@ATTRIBUTE fila_fantasma_mas_cercano NUMERIC
@ATTRIBUTE dist_columna_fantasma_cercano NUMERIC
@ATTRIBUTE dist_fila_fantasma_cercano NUMERIC
@ATTRIBUTE dist_fantasma_cercano NUMERIC
@ATTRIBUTE num_comida NUMERIC
@ATTRIBUTE dist_comida NUMERIC
@ATTRIBUTE isWallNorth {False, True}
@ATTRIBUTE isWallSouth {False, True}
@ATTRIBUTE isWallEast {False, True}
@ATTRIBUTE isWallWest {False, True}
@ATTRIBUTE distNorth NUMERIC
@ATTRIBUTE distSouth NUMERIC
@ATTRIBUTE distEast NUMERIC
@ATTRIBUTE distWest NUMERIC
@ATTRIBUTE score NUMERIC
@ATTRIBUTE dir_anterior_pacman {Stop, East, West, North, South}
@ATTRIBUTE dir_pacman {Stop, East, West, North, South}
@ATTRIBUTE next_score NUMERIC

@DATA
6,7,4,3,1,1,11,3,17,6,25,13,-1,9,12,25,11,3,5,4,9,0,-1,False,False,True,False,4,2,1,4,178,South,South,177
6,6,4,3,1,1,11,3,17,6,25,13,-1,8,11,26,11,3,5,3,8,0,-1,False,True,False,False,5,1,6,6,177,South,South,176
7,6,4,3,1,1,11,3,17,6,25,13,-1,7,10,25,11,3,4,3,7,0,-1,True,True,False,False,1,1,5,7,176,South,East,175
8,6,4,3,1,1,11,3,17,6,25,13,-1,6,9,24,11,3,3,3,6,0,-1,False,False,False,False,11,4,4,8,175,East,East,174
9,6,4,3,1,1,11,3,17,6,25,13,-1,5,8,23,11,3,2,3,5,0,-1,False,False,False,False,11,4,3,9,174,East,East,173
10,6,4,3,1,1,11,3,17,6,25,13,-1,4,7,22,11,3,1,3,4,0,-1,False,False,False,False,11,4,2,10,173,East,East,172
11,6,4,3,1,1,11,3,17,6,25,13,-1,3,6,21,11,3,0,3,3,0,-1,False,False,True,False,7,4,1,11,172,East,East,171
11,5,4,3,1,1,11,3,17,6,25,13,-1,2,7,22,11,3,0,2,2,0,-1,False,False,True,False,8,3,1,4,171,East,South,170
11,4,4,3,1,1,11,3,17,6,25,13,-1,1,8,23,11,3,0,1,1,0,-1,False,False,True,False,9,2,1,4,170,South,South,369
11,3,4,2,1,1,3,1,17,6,25,13,-1,-1,9,24,17,6,6,3,9,0,-1,False,True,True,False,10,1,1,11,369,South,South,368
11,4,4,2,1,1,3,1,17,6,25,13,-1,-1,8,23,17,6,6,2,8,0,-1,False,False,True,False,9,2,1,4,368,South,North,367
11,5,4,2,1,1,3,1,17,6,25,13,-1,-1,7,22,17,6,6,1,7,0,-1,False,False,True,False,8,3,1,4,367,North,North,366
11,6,4,2,1,1,3,1,17,6,25,13,-1,-1,6,21,17,6,6,0,6,0,-1,False,False,True,False,7,4,1,11,366,North,North,365
11,7,4,2,1,1,3,1,17,6,25,13,-1,-1,7,20,17,6,6,1,7,0,-1,False,False,True,False,6,5,1,4,365,North,North,364
11,8,4,2,1,1,3,1,17,6,25,13,-1,-1,8,19,17,6,6,2,8,0,-1,False,False,True,False,5,6,1,4,364,North,North,363
11,9,4,2,1,1,3,1,17,6,25,13,-1,-1,9,18,17,6,6,3,9,0,-1,False,False,True,False,4,7,1,4,363,North,North,362
11,10,4,2,1,1,3,1,17,6,25,13,-1,-1,10,17,17,6,6,4,10,0,-1,False,False,True,False,3,8,1,4,362,North,North,361
11,11,4,2,1,1,3,1,17,6,25,13,-1,-1,11,16,17,6,6,5,11,0,-1,False,False,True,False,2,9,1,4,361,North,North,360
11,12,4,2,1,1,3,1,17,6,25,13,-1,-1,12,15,17,6,6,6,12,0,-1,True,False,False,False,1,10,10,11,360,North,North,359
12,12,4,2,1,1,3,1,17,6,25,13,-1,-1,11,14,17,6,5,6,11,0,-1,True,True,False,False,1,1,9,12,359,North,East,358
13,12,4,2,1,1,3,1,17,6,25,13,-1,-1,10,13,17,6,4,6,10,0,-1,True,False,False,False,1,10,8,13,358,East,East,357
14,12,4,2,1,1,3,1,17,6,25,13,-1,-1,9,12,17,6,3,6,9,0,-1,False,False,False,False,7,10,7,14,357,East,East,356
14,11,4,2,1,1,3,1,17,6,25,13,-1,-1,8,13,17,6,3,5,8,0,-1,False,False,False,False,8,9,7,2,356,East,South,355
14,10,4,2,1,1,3,1,17,6,25,13,-1,-1,7,14,17,6,3,4,7,0,-1,False,False,False,False,9,8,12,2,355,South,South,354
14,9,4,2,1,1,3,1,17,6,25,13,-1,-1,6,15,17,6,3,3,6,0,-1,False,False,True,False,10,7,1,2,354,South,South,353
14,8,4,2,1,1,3,1,17,6,25,13,-1,-1,5,16,17,6,3,2,5,0,-1,False,False,False,False,11,6,12,2,353,South,South,352
14,7,4,2,1,1,3,1,17,6,25,13,-1,-1,4,17,17,6,3,1,4,0,-1,False,False,True,False,12,5,1,2,352,South,South,351
14,6,4,2,1,1,3,1,17,6,25,13,-1,-1,3,18,17,6,3,0,3,0,-1,False,False,False,False,13,4,12,2,351,South,South,350
15,6,4,2,1,1,3,1,17,6,25,13,-1,-1,2,17,17,6,2,0,2,0,-1,True,True,False,False,1,1,11,3,350,South,East,349
16,6,4,2,1,1,3,1,17,6,25,13,-1,-1,1,16,17,6,1,0,1,0,-1,True,True,False,False,1,1,10,4,349,East,East,548
17,6,4,1,1,1,3,1,5,1,25,13,-1,-1,-1,15,25,13,8,7,15,0,-1,True,False,False,False,1,4,9,5,548,East,East,547
16,6,4,1,1,1,3,1,5,1,25,13,-1,-1,-1,16,25,13,9,7,16,0,-1,True,True,False,False,1,1,10,4,547,East,West,546
15,6,4,1,1,1,3,1,5,1,25,13,-1,-1,-1,17,25,13,10,7,17,0,-1,True,True,False,False,1,1,11,3,546,West,West,545
14,6,4,1,1,1,3,1,5,1,25,13,-1,-1,-1,18,25,13,11,7,18,0,-1,False,False,False,False,13,4,12,2,545,West,West,544
14,7,4,1,1,1,3,1,5,1,25,13,-1,-1,-1,17,25,13,11,6,17,0,-1,False,False,True,False,12,5,1,2,544,West,North,543
14,8,4,1,1,1,3,1,5,1,25,13,-1,-1,-1,16,25,13,11,5,16,0,-1,False,False,False,False,11,6,12,2,543,North,North,542
14,9,4,1,1,1,3,1,5,1,25,13,-1,-1,-1,15,25,13,11,4,15,0,-1,False,False,True,False,10,7,1,2,542,North,North,541
14,10,4,1,1,1,3,1,5,1,25,13,-1,-1,-1,14,25,13,11,3,14,0,-1,False,False,False,False,9,8,12,2,541,North,North,540
15,10,4,1,1,1,3,1,5,1,25,13,-1,-1,-1,13,25,13,10,3,13,0,-1,False,True,False,False,3,1,11,3,540,North,East,539
16,10,4,1,1,1,3,1,5,1,25,13,-1,-1,-1,12,25,13,9,3,12,0,-1,False,True,False,False,3,1,10,4,539,East,East,538
17,10,4,1,1,1,3,1,5,1,25,13,-1,-1,-1,11,25,13,8,3,11,0,-1,False,True,False,False,9,1,9,5,538,East,East,537
18,10,4,1,1,1,3,1,5,1,25,13,-1,-1,-1,10,25,13,7,3,10,0,-1,False,True,False,False,5,1,8,6,537,East,East,536
19,10,4,1,1,1,3,1,5,1,25,13,-1,-1,-1,9,25,13,6,3,9,0,-1,False,True,False,False,5,1,7,7,536,East,East,535
20,10,4,1,1,1,3,1,5,1,25,13,-1,-1,-1,8,25,13,5,3,8,0,-1,False,True,False,False,9,1,6,8,535,East,East,534
20,11,4,1,1,1,3,1,5,1,25,13,-1,-1,-1,7,25,13,5,2,7,0,-1,False,False,True,False,8,2,1,8,534,East,North,533
20,12,4,1,1,1,3,1,5,1,25,13,-1,-1,-1,6,25,13,5,1,6,0,-1,False,False,True,False,7,3,1,20,533,North,North,532
20,13,4,1,1,1,3,1,5,1,25,13,-1,-1,-1,5,25,13,5,0,5,0,-1,False,False,True,False,6,4,1,4,532,North,North,531
20,14,4,1,1,1,3,1,5,1,25,13,-1,-1,-1,6,25,13,5,1,6,0,-1,False,False,True,False,5,5,1,9,531,North,North,530
