@relation 'pacman-weka.filters.unsupervised.attribute.Remove-R1-2,5-12,17-18'

@attribute num_fantasmas numeric
@attribute num_fantasmas_vivos numeric
@attribute dist_1 numeric
@attribute dist_2 numeric
@attribute dist_3 numeric
@attribute dist_4 numeric
@attribute dist_columna_fantasma_cercano numeric
@attribute dist_fila_fantasma_cercano numeric
@attribute dist_fantasma_cercano numeric
@attribute num_comida numeric
@attribute dist_comida numeric
@attribute isWallNorth {False,True}
@attribute isWallSouth {False,True}
@attribute isWallEast {False,True}
@attribute isWallWest {False,True}
@attribute distNorth numeric
@attribute distSouth numeric
@attribute distEast numeric
@attribute distWest numeric
@attribute score numeric
@attribute dir_anterior_pacman {Stop,East,West,North,South}
@attribute dir_pacman {Stop,East,West,North,South}
@attribute next_score numeric

@data
4,1,-1,-1,-1,4,2,2,4,0,-1,False,False,False,False,2,3,3,4,525,East,East,524
4,1,-1,-1,-1,3,1,2,3,0,-1,False,False,False,False,2,2,2,5,524,East,East,523
4,1,-1,-1,-1,2,0,2,2,0,-1,False,False,True,False,4,3,1,6,523,East,East,522
4,4,7,8,9,10,1,6,7,112,1,True,True,False,False,1,1,7,2,196,West,West,295
4,4,8,9,10,11,2,6,8,111,1,False,True,False,True,11,1,8,1,295,West,West,394
4,4,7,8,9,10,2,5,7,110,1,False,False,True,True,10,2,1,1,394,West,North,493
4,4,6,7,8,9,2,4,6,109,1,False,False,False,False,9,3,8,4,493,North,North,592
4,4,5,6,7,8,2,3,5,108,1,False,False,True,False,8,4,1,4,592,North,North,691
4,4,4,5,6,7,2,2,4,107,1,False,False,True,False,7,5,1,4,691,North,North,790
4,4,3,4,5,6,2,1,3,106,1,False,False,True,False,6,6,1,4,790,North,North,889
4,4,2,3,4,5,2,0,2,105,1,False,False,False,False,5,7,6,6,889,North,North,888
4,4,1,2,3,4,1,0,1,105,2,True,True,False,False,1,1,5,7,888,North,East,1087
4,3,-1,1,2,3,1,0,1,105,3,True,True,False,False,1,1,4,8,1087,East,East,1286
4,2,-1,-1,1,2,1,0,1,105,2,False,True,False,False,5,1,3,9,1286,East,East,1485
4,4,26,27,13,17,2,11,13,335,1,False,False,False,False,3,6,5,2,196,South,South,295
4,4,25,26,12,16,2,10,12,334,1,False,False,True,False,4,5,1,2,295,South,South,394
4,4,24,25,11,15,2,9,11,333,1,False,False,False,False,5,4,2,9,394,South,South,493
4,4,23,24,10,14,2,8,10,332,1,False,False,True,False,6,3,1,2,493,South,South,592
4,4,22,23,9,13,2,7,9,331,1,False,False,False,False,7,2,9,9,592,South,South,691
4,4,23,24,10,12,3,7,10,330,1,True,True,False,False,1,1,8,10,691,South,East,790
4,4,24,25,11,11,4,7,11,329,1,False,False,False,False,2,9,7,11,790,East,East,889
4,4,25,26,12,10,5,5,10,328,1,False,False,False,False,7,9,6,12,889,East,East,988
4,4,26,27,13,9,4,5,9,327,1,True,True,False,False,1,1,5,13,988,East,East,1087
4,4,27,28,14,8,3,5,8,326,1,False,False,False,False,4,9,4,14,1087,East,East,1186
4,4,28,29,15,7,2,5,7,325,1,False,False,False,False,5,9,3,15,1186,East,East,1285
4,4,29,30,16,6,1,5,6,324,1,True,True,False,False,1,1,2,16,1285,East,East,1384
4,4,30,31,17,5,0,5,5,323,1,False,False,True,False,5,9,1,17,1384,East,East,1483
4,4,29,30,16,4,0,4,4,322,1,False,False,True,True,6,8,1,1,1483,East,South,1582
4,4,28,29,15,3,0,3,3,321,1,False,False,True,False,7,7,1,8,1582,South,South,1681
4,4,27,28,14,2,0,2,2,320,1,False,False,True,True,8,6,1,1,1681,South,South,1780
4,4,28,27,13,1,0,1,1,319,1,False,False,True,False,9,5,1,20,1780,South,South,1979
