@relation 'pacman-weka.filters.unsupervised.attribute.Remove-R32,35-weka.filters.unsupervised.attribute.Remove-R3,5-12,17-18-weka.filters.unsupervised.attribute.Remove-R1-2'

@attribute num_fantasmas_vivos numeric
@attribute dist_1 numeric
@attribute dist_2 numeric
@attribute dist_3 numeric
@attribute dist_4 numeric
@attribute dist_columna_fantasma_cercano numeric
@attribute dist_fila_fantasma_cercano numeric
@attribute dist_fantasma_cercano numeric
@attribute num_comida numeric
@attribute dist_comida numeric
@attribute isWallNorth {False,True}
@attribute isWallSouth {False,True}
@attribute isWallEast {False,True}
@attribute isWallWest {False,True}
@attribute distNorth numeric
@attribute distSouth numeric
@attribute distEast numeric
@attribute distWest numeric
@attribute dir_anterior_pacman {Stop,East,West,North,South}
@attribute dir_pacman {Stop,East,West,North,South}

@data
3,-1,3,5,13,1,2,3,0,-1,False,True,False,False,2,1,13,6,South,East
3,-1,3,5,13,1,2,3,0,-1,True,False,False,False,1,2,13,6,East,North
3,-1,3,4,12,1,2,3,0,-1,True,False,False,False,1,2,13,6,North,North
3,-1,3,4,11,1,2,3,0,-1,False,False,False,False,3,2,12,7,North,East
3,-1,2,4,11,1,1,2,0,-1,False,False,True,True,2,3,1,1,East,North
3,-1,1,5,13,1,0,1,0,-1,True,False,False,False,1,4,12,7,North,North
2,-1,-1,5,13,3,2,5,0,-1,True,True,False,False,1,1,13,6,North,West
2,-1,-1,3,13,1,2,3,0,-1,True,False,False,False,1,4,12,7,West,East
2,-1,-1,3,11,1,2,3,0,-1,False,False,True,True,2,3,1,1,East,South
2,-1,-1,1,9,1,0,1,0,-1,False,False,False,False,3,2,12,7,South,South
2,-1,-1,1,11,1,0,1,0,-1,False,True,False,False,4,1,12,7,South,South
1,-1,-1,-1,9,9,1,10,0,-1,False,True,False,False,2,1,11,8,South,East
1,-1,-1,-1,7,8,0,8,0,-1,False,True,False,False,2,1,10,9,East,East
1,-1,-1,-1,5,6,0,6,0,-1,False,True,False,False,2,1,9,10,East,East
1,-1,-1,-1,4,4,0,4,0,-1,False,True,False,False,2,1,8,11,East,East
1,-1,-1,-1,3,3,0,3,0,-1,False,True,False,False,2,1,7,12,East,East
1,-1,-1,-1,3,2,0,2,0,-1,False,True,False,False,2,1,6,13,East,East
4,9,19,29,24,3,6,9,0,-1,False,False,False,True,3,14,17,1,South,South
4,8,17,29,22,3,5,8,0,-1,False,False,False,True,4,13,17,1,South,South
4,7,17,29,22,3,4,7,0,-1,False,False,False,True,5,12,10,1,South,South
4,5,17,27,24,2,3,5,0,-1,False,False,True,True,6,11,1,1,South,South
4,5,17,25,24,3,2,5,0,-1,False,False,False,True,7,10,20,1,South,South
4,4,17,25,24,3,1,4,0,-1,False,False,True,True,8,9,1,1,South,South
4,2,15,23,24,2,0,2,0,-1,False,False,True,True,9,8,1,1,South,South
4,3,13,21,25,2,1,3,0,-1,False,False,True,True,10,7,1,1,South,South
4,4,12,19,26,2,2,4,0,-1,False,False,True,True,11,6,1,1,South,South
4,5,10,19,26,2,3,5,0,-1,False,False,True,True,12,5,1,1,South,South
4,7,10,19,26,3,4,7,0,-1,False,False,False,True,13,4,11,1,South,South
4,7,10,17,24,3,4,7,0,-1,True,False,False,False,1,4,10,2,South,East
4,5,8,16,22,1,4,5,0,-1,False,False,False,False,5,4,9,3,East,East
4,5,6,14,20,1,4,5,0,-1,False,False,False,False,5,4,8,4,East,East
4,3,4,14,20,0,3,3,0,-1,False,False,False,False,5,4,7,5,East,East
4,3,6,16,20,1,2,3,0,-1,False,False,False,False,4,5,2,3,East,North
4,3,6,16,18,2,1,3,0,-1,False,False,False,False,3,6,2,3,North,North
4,1,8,16,18,1,0,1,0,-1,False,False,False,False,2,7,2,3,North,North
3,-1,8,18,18,4,4,8,0,-1,False,False,False,False,2,7,3,2,North,West
3,-1,7,18,18,4,3,7,0,-1,False,False,False,False,3,6,3,2,West,South
3,-1,7,18,18,4,3,7,0,-1,False,False,False,False,4,5,3,2,South,South
3,-1,6,17,20,4,2,6,0,-1,False,False,False,False,5,4,8,4,South,South
3,-1,6,16,18,3,3,6,0,-1,False,False,False,False,5,4,7,5,South,East
3,-1,4,16,16,2,2,4,0,-1,False,True,False,False,5,1,6,6,East,East
3,-1,4,14,14,1,3,4,0,-1,True,True,False,False,1,1,5,7,East,East
3,-1,2,13,13,0,2,2,0,-1,False,False,False,False,11,4,4,8,East,East
