@relation 'pacman-weka.filters.unsupervised.attribute.Remove-R1-2,5-12,17-18'

@attribute num_fantasmas numeric
@attribute num_fantasmas_vivos numeric
@attribute dist_1 numeric
@attribute dist_2 numeric
@attribute dist_3 numeric
@attribute dist_4 numeric
@attribute dist_columna_fantasma_cercano numeric
@attribute dist_fila_fantasma_cercano numeric
@attribute dist_fantasma_cercano numeric
@attribute num_comida numeric
@attribute dist_comida numeric
@attribute isWallNorth {False,True}
@attribute isWallSouth {False,True}
@attribute isWallEast {False,True}
@attribute isWallWest {False,True}
@attribute distNorth numeric
@attribute distSouth numeric
@attribute distEast numeric
@attribute distWest numeric
@attribute score numeric
@attribute dir_anterior_pacman {Stop,East,West,North,South}
@attribute dir_pacman {Stop,East,West,North,South}
@attribute next_score numeric

@data
4,1,-1,-1,-1,10,7,3,10,0,-1,False,True,False,False,5,1,8,6,537,East,East,536
4,1,-1,-1,-1,9,6,3,9,0,-1,False,True,False,False,5,1,7,7,536,East,East,535
4,1,-1,-1,-1,8,5,3,8,0,-1,False,True,False,False,9,1,6,8,535,East,East,534
4,1,-1,-1,-1,7,5,2,7,0,-1,False,False,True,False,8,2,1,8,534,East,North,533
4,1,-1,-1,-1,6,5,1,6,0,-1,False,False,True,False,7,3,1,20,533,North,North,532
4,1,-1,-1,-1,5,5,0,5,0,-1,False,False,True,False,6,4,1,4,532,North,North,531
4,1,-1,-1,-1,6,5,1,6,0,-1,False,False,True,False,5,5,1,9,531,North,North,530
4,1,-1,-1,-1,7,5,2,7,0,-1,False,False,False,True,4,6,6,1,530,North,North,529
4,1,-1,-1,-1,6,4,2,6,0,-1,False,True,False,False,4,1,5,2,529,North,East,528
4,1,-1,-1,-1,5,3,2,5,0,-1,False,False,False,False,2,3,4,3,528,East,East,527
4,1,-1,-1,-1,4,2,2,4,0,-1,False,False,False,False,2,3,3,4,527,East,East,526
4,1,-1,-1,-1,3,1,2,3,0,-1,False,False,False,False,2,2,2,5,526,East,East,525
4,1,-1,-1,-1,2,0,2,2,0,-1,False,False,True,False,4,3,1,6,525,East,East,524
4,4,6,7,8,9,0,6,6,113,1,True,True,False,False,1,1,6,3,99,Stop,West,198
4,4,7,8,9,10,1,6,7,112,1,True,True,False,False,1,1,7,2,198,West,West,297
4,4,8,9,10,11,2,6,8,111,1,False,True,False,True,11,1,8,1,297,West,West,396
4,4,7,8,9,10,2,5,7,110,1,False,False,True,True,10,2,1,1,396,West,North,495
