@relation 'pacman-weka.filters.unsupervised.attribute.Remove-R1-2,16-17'

@attribute num_fantasmas numeric
@attribute columna_fantasma_1 numeric
@attribute fila_fantasma_1 numeric
@attribute columna_fantasma_2 numeric
@attribute fila_fantasma_2 numeric
@attribute columna_fantasma_3 numeric
@attribute fila_fantasma_3 numeric
@attribute columna_fantasma_4 numeric
@attribute fila_fantasma_4 numeric
@attribute dist_1 numeric
@attribute dist_2 numeric
@attribute dist_3 numeric
@attribute dist_4 numeric
@attribute dir_pacman {Stop,East,West,North,South}

@data
4,6,3,3,1,13,8,14,4,11,0,5,9,South
4,5,3,3,1,14,8,14,5,11,0,5,7,South
4,4,3,3,1,13,8,14,6,13,0,3,5,East
4,4,4,3,1,12,8,14,7,13,0,1,3,East
4,5,4,3,1,12,9,14,8,13,0,1,1,East
4,4,4,3,1,11,9,7,1,15,0,3,0,East
4,5,4,3,1,11,10,7,1,15,0,5,0,East
4,5,5,3,1,11,10,7,1,15,0,6,0,East
4,6,5,3,1,11,10,7,1,15,0,7,0,East
4,6,5,3,1,10,10,7,1,16,0,9,0,East
4,6,4,3,1,10,9,7,1,18,0,9,0,North
4,6,4,3,1,11,9,7,1,19,0,9,0,North
4,5,4,3,1,10,9,7,1,20,0,10,0,North
4,5,4,3,1,10,8,7,1,20,0,11,0,North
4,5,5,3,1,10,7,7,1,18,0,11,0,West
4,5,4,3,1,10,7,7,1,18,0,10,0,West
4,5,4,3,1,10,6,7,1,17,0,10,0,West
4,5,3,3,1,9,6,7,1,17,0,10,0,West
4,5,3,3,1,9,7,7,1,16,0,8,0,South
4,5,4,3,1,9,7,7,1,14,0,7,0,South
4,6,4,3,1,9,6,7,1,12,0,7,0,South
4,7,4,3,1,10,6,7,1,10,0,5,0,West
4,8,4,3,1,10,5,7,1,8,0,5,0,West
4,8,4,3,1,10,5,7,1,8,0,5,0,West
4,8,3,3,1,10,4,7,1,9,0,6,0,West
4,8,4,3,1,10,3,7,1,8,0,7,0,West
4,8,4,3,1,9,3,7,1,9,0,9,0,North
4,8,3,3,1,8,3,7,1,9,0,9,0,West
4,7,3,3,1,7,3,7,1,9,0,9,0,West
4,7,3,3,1,7,4,7,1,8,0,7,0,South
4,8,3,3,1,7,4,7,1,6,0,6,0,South
4,8,4,3,1,6,4,7,1,4,0,6,0,South
4,9,4,3,1,5,4,7,1,2,0,6,0,South
4,9,5,3,1,5,3,7,1,2,0,6,0,South
4,9,6,3,1,5,4,7,1,2,0,4,0,West
4,10,6,3,1,5,3,7,1,4,0,4,0,West
4,10,7,3,1,5,3,7,1,6,0,3,0,West
4,10,6,3,1,6,3,7,1,6,0,1,0,West
4,10,7,3,1,5,3,7,1,8,0,1,0,West
4,10,8,3,1,4,3,7,1,10,0,1,0,West
4,10,9,3,1,4,3,7,1,12,0,2,0,West
4,10,8,3,1,5,3,7,1,12,0,4,0,West
4,9,8,3,1,5,4,7,1,10,0,2,0,East
4,10,8,3,1,5,5,7,1,10,0,2,0,East
4,10,8,3,1,4,5,7,1,9,0,2,0,East
4,10,7,3,1,4,5,7,1,7,0,3,0,East
4,9,7,3,1,3,5,7,1,5,0,5,0,East
4,10,7,3,1,3,5,7,1,5,0,6,0,East
4,10,8,3,1,3,4,7,1,5,0,6,0,East
4,10,7,3,1,3,5,7,1,3,0,6,0,North
4,10,7,3,1,2,5,7,1,2,0,8,0,North
4,1,1,3,1,2,4,7,1,0,0,10,0,North
4,1,1,3,1,1,4,7,1,0,0,12,0,North
4,1,1,3,1,2,4,7,1,0,0,12,0,North
4,1,1,3,1,2,4,7,1,0,0,13,0,East
4,1,1,3,1,3,4,7,1,0,0,13,0,East
4,1,1,3,1,2,4,7,1,0,0,15,0,East
4,1,1,3,1,2,3,7,1,0,0,15,0,South
4,1,1,3,1,2,4,7,1,0,0,13,0,South
4,1,1,3,1,2,4,7,1,0,0,13,0,South
4,1,1,3,1,2,3,7,1,0,0,14,0,South
4,1,1,3,1,2,3,7,1,0,0,15,0,East
4,1,1,3,1,2,4,7,1,0,0,15,0,East
4,1,1,3,1,2,3,7,1,0,0,15,0,South
4,1,1,3,1,2,4,7,1,0,0,13,0,South
4,1,1,3,1,3,4,7,1,0,0,11,0,West
4,1,1,3,1,3,4,7,1,0,0,10,0,West
4,1,1,3,1,3,3,7,1,0,0,10,0,West
4,1,1,3,1,2,3,7,1,0,0,10,0,West
4,1,1,3,1,2,3,7,1,0,0,9,0,West
4,1,1,3,1,3,3,7,1,0,0,7,0,West
4,1,1,3,1,3,4,7,1,0,0,5,0,West
4,1,1,3,1,4,4,7,1,0,0,3,0,West
4,1,1,3,1,3,4,7,1,0,0,3,0,West
4,1,1,3,1,3,3,7,1,0,0,3,0,South
4,1,1,3,1,3,3,7,1,0,0,2,0,South
4,1,1,3,1,2,3,7,1,0,0,3,0,South
4,1,1,3,1,1,3,7,1,0,0,4,0,South
4,1,1,3,1,1,4,7,1,0,0,5,0,South
4,1,1,3,1,1,5,7,1,0,0,5,0,West
