@relation 'pacman-weka.filters.unsupervised.attribute.Remove-R35-weka.filters.unsupervised.attribute.Remove-R32-weka.filters.unsupervised.attribute.Remove-R1-3,5-12-weka.filters.unsupervised.attribute.Remove-R6-7'

@attribute num_fantasmas_vivos numeric
@attribute dist_1 numeric
@attribute dist_2 numeric
@attribute dist_3 numeric
@attribute dist_4 numeric
@attribute dist_columna_fantasma_cercano numeric
@attribute dist_fila_fantasma_cercano numeric
@attribute dist_fantasma_cercano numeric
@attribute num_comida numeric
@attribute dist_comida numeric
@attribute isWallNorth {False,True}
@attribute isWallSouth {False,True}
@attribute isWallEast {False,True}
@attribute isWallWest {False,True}
@attribute distNorth numeric
@attribute distSouth numeric
@attribute distEast numeric
@attribute distWest numeric
@attribute dir_anterior_pacman {Stop,East,West,North,South}
@attribute dir_pacman {Stop,East,West,North,South}

@data
2,-1,3,-1,9,1,2,3,0,-1,True,False,False,False,1,2,10,9,East,West
2,-1,2,-1,9,0,2,2,0,-1,True,False,False,False,1,2,11,8,West,West
2,-1,4,-1,11,2,2,4,0,-1,False,False,False,False,3,2,12,7,West,West
2,-1,2,-1,11,1,1,2,0,-1,False,False,True,True,2,3,1,1,West,North
1,-1,-1,-1,12,9,3,12,0,-1,True,False,False,False,1,4,12,7,North,North
1,-1,-1,-1,12,8,3,11,0,-1,True,True,False,False,1,1,11,8,North,East
1,-1,-1,-1,10,8,3,11,0,-1,True,True,False,False,1,1,10,9,East,East
1,-1,-1,-1,8,6,3,9,0,-1,True,True,False,False,1,1,9,10,East,East
1,-1,-1,-1,6,5,2,7,0,-1,True,True,False,False,1,1,8,11,East,East
1,-1,-1,-1,4,4,1,5,0,-1,True,True,False,False,1,1,7,12,East,East
1,-1,-1,-1,2,3,0,3,0,-1,True,True,False,False,1,1,6,13,East,East
1,-1,-1,-1,2,1,0,1,0,-1,True,False,False,False,1,4,5,14,East,East
4,11,23,26,27,4,7,11,0,-1,False,False,True,True,2,15,1,1,Stop,South
4,11,23,26,25,4,7,11,0,-1,False,False,False,True,3,14,17,1,South,South
4,11,21,24,23,5,6,11,0,-1,False,False,False,True,4,13,17,1,South,South
4,9,19,23,23,4,5,9,0,-1,False,False,False,True,5,12,10,1,South,South
4,9,17,21,22,5,4,9,0,-1,False,False,True,True,6,11,1,1,South,South
4,8,17,19,23,5,3,8,0,-1,False,False,False,True,7,10,20,1,South,South
4,7,15,18,25,5,2,7,0,-1,False,False,True,True,8,9,1,1,South,South
4,7,15,16,27,5,2,7,0,-1,False,False,True,True,9,8,1,1,South,South
4,5,13,14,29,5,0,5,0,-1,False,False,True,True,10,7,1,1,South,South
4,5,13,13,29,5,0,5,0,-1,False,False,True,True,11,6,1,1,South,South
4,5,11,12,31,4,1,5,0,-1,False,False,True,True,12,5,1,1,South,South
4,6,9,14,31,4,2,6,0,-1,False,False,False,True,13,4,11,1,South,South
4,4,9,13,30,2,2,4,0,-1,True,False,False,False,1,4,10,2,South,East
4,4,9,13,28,1,3,4,0,-1,False,False,False,False,5,4,9,3,East,East
