@relation 'pacman-weka.filters.unsupervised.attribute.Remove-R13-16,19-21,28-31-weka.filters.unsupervised.attribute.Remove-R16'

@attribute columna_pacman numeric
@attribute fila_pacman numeric
@attribute num_fantasmas numeric
@attribute num_fantasmas_vivos numeric
@attribute columna_fantasma_1 numeric
@attribute fila_fantasma_1 numeric
@attribute columna_fantasma_2 numeric
@attribute fila_fantasma_2 numeric
@attribute columna_fantasma_3 numeric
@attribute fila_fantasma_3 numeric
@attribute columna_fantasma_4 numeric
@attribute fila_fantasma_4 numeric
@attribute columna_fantasma_mas_cercano numeric
@attribute fila_fantasma_mas_cercano numeric
@attribute num_comida numeric
@attribute isWallNorth {False,True}
@attribute isWallSouth {False,True}
@attribute isWallEast {False,True}
@attribute isWallWest {False,True}
@attribute score numeric
@attribute dir_anterior_pacman {Stop,East,West,North,South}
@attribute dir_pacman {Stop,East,West,North,South}
@attribute next_score numeric

@data
17,13,4,4,1,8,2,6,18,4,28,6,18,4,330,False,False,False,False,693,South,South,792
17,12,4,4,1,8,2,6,18,4,28,6,18,4,329,False,False,True,False,792,South,South,891
17,11,4,4,1,8,2,6,18,4,28,6,18,4,328,False,False,False,False,891,South,South,990
17,10,4,4,1,8,2,6,18,4,28,6,18,4,327,False,False,True,False,990,South,South,1089
17,9,4,4,1,8,2,6,18,4,28,6,18,4,326,False,False,False,False,1089,South,South,1188
17,8,4,4,1,8,2,6,18,4,28,6,18,4,325,False,False,True,False,1188,South,South,1287
17,7,4,4,1,8,2,6,18,4,28,6,18,4,324,False,False,False,False,1287,South,South,1386
17,6,4,4,1,8,2,6,18,4,28,6,18,4,323,False,False,False,False,1386,South,South,1485
17,5,4,4,1,8,2,6,18,4,28,6,18,4,322,False,False,True,False,1485,South,South,1584
17,4,4,4,1,8,2,6,18,4,28,6,18,4,321,False,False,False,False,1584,South,South,1783
18,4,4,3,1,8,2,6,5,1,28,6,28,6,321,True,False,True,False,1783,South,East,1882
18,3,4,3,1,8,2,6,5,1,28,6,28,6,320,False,True,False,False,1882,East,South,1981
19,3,4,3,1,8,2,6,5,1,28,6,28,6,319,True,True,False,False,1981,South,East,2080
20,3,4,3,1,8,2,6,5,1,28,6,28,6,318,False,True,False,False,2080,East,East,2179
21,3,4,3,1,8,2,6,5,1,28,6,28,6,317,False,True,False,False,2179,East,East,2278
22,3,4,3,1,8,2,6,5,1,28,6,28,6,316,False,True,False,False,2278,East,East,2377
23,3,4,3,1,8,2,6,5,1,28,6,28,6,315,False,True,False,False,2377,East,East,2476
24,3,4,3,1,8,2,6,5,1,28,6,28,6,314,False,True,False,False,2476,East,East,2575
25,3,4,3,1,8,2,6,5,1,28,6,28,6,313,False,True,False,False,2575,East,East,2674
26,3,4,3,1,8,2,6,5,1,28,6,28,6,312,False,True,False,False,2674,East,East,2773
27,3,4,3,1,8,2,6,5,1,28,6,28,6,311,False,True,False,False,2773,East,East,2872
28,3,4,3,1,8,2,6,5,1,28,6,28,6,310,False,True,True,False,2872,East,East,2971
28,4,4,3,1,8,2,6,5,1,28,6,28,6,309,False,False,True,False,2971,East,North,3070
28,5,4,3,1,8,2,6,5,1,28,6,28,6,308,False,False,True,True,3070,North,North,3269
28,6,4,2,1,8,2,6,5,1,7,1,2,6,308,False,False,True,False,3269,North,North,3368
27,6,4,2,1,8,2,6,5,1,7,1,2,6,307,False,True,False,False,3368,North,West,3467
26,6,4,2,1,8,2,6,5,1,7,1,2,6,306,False,False,False,False,3467,West,West,3566
25,6,4,2,1,8,2,6,5,1,7,1,2,6,305,False,False,False,False,3566,West,West,3665
24,6,4,2,1,8,2,6,5,1,7,1,2,6,304,False,True,False,False,3665,West,West,3764
23,6,4,2,1,8,2,6,5,1,7,1,2,6,303,False,False,False,False,3764,West,West,3863
22,6,4,2,1,8,2,6,5,1,7,1,2,6,302,False,False,False,False,3863,West,West,3962
